exp_name,sample,accession,lane,organism
KD6_seq1_essential_mRNA_lane_31_S55,SRX15390362,SRR19330852,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_31_S55,SRX15390362,SRR19330851,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S80,SRX15390371,SRR19330842,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S80,SRX15390371,SRR19330843,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S80,SRX15390371,SRR19330844,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S80,SRX15390371,SRR19330845,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330840,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330841,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330838,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_32_S56,SRX15390375,SRR19330839,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330829,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330832,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330831,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S81,SRX15390384,SRR19330830,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S57,SRX15390388,SRR19330824,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S57,SRX15390388,SRR19330828,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S57,SRX15390388,SRR19330827,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_33_S57,SRX15390388,SRR19330825,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S82,SRX15390397,SRR19330818,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S82,SRX15390397,SRR19330816,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S82,SRX15390397,SRR19330819,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_34_S82,SRX15390397,SRR19330817,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19331001,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19330815,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19331256,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19331217,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_4_S28,SRX15390402,SRR19331017,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_4_S28,SRX15390402,SRR19331028,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_4_S28,SRX15390402,SRR19331300,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_4_S28,SRX15390402,SRR19330814,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S86,SRX15390403,SRR19330811,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S86,SRX15390403,SRR19330812,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S86,SRX15390403,SRR19330810,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S86,SRX15390403,SRR19330813,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S62,SRX15390407,SRR19330805,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S62,SRX15390407,SRR19330809,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S62,SRX15390407,SRR19330808,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_38_S62,SRX15390407,SRR19330806,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S87,SRX15390416,SRR19330800,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S87,SRX15390416,SRR19330798,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S87,SRX15390416,SRR19330799,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S87,SRX15390416,SRR19330797,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330795,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330794,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330793,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_39_S63,SRX15390421,SRR19330792,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19331263,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19330789,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19330788,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S93,SRX15390427,SRR19331262,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330784,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330785,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330786,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_45_S69,SRX15390429,SRR19330787,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S29,SRX15390437,SRR19330779,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S29,SRX15390437,SRR19330768,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S29,SRX15390437,SRR19331272,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S29,SRX15390437,SRR19331261,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S94,SRX15390438,SRR19330778,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S94,SRX15390438,SRR19330777,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S94,SRX15390438,SRR19330776,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S94,SRX15390438,SRR19330775,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S70,SRX15390442,SRR19330772,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S70,SRX15390442,SRR19330771,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S70,SRX15390442,SRR19330774,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_46_S70,SRX15390442,SRR19330773,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S54,SRX15390454,SRR19330751,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S54,SRX15390454,SRR19331255,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S54,SRX15390454,SRR19331244,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S54,SRX15390454,SRR19330762,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19331120,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19330662,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S57,SRX15390554,SRR19331168,L002,Homo sapiens
