exp_name,srx,srr
jurkat_sgRNA_5_2_L002,SRX24258117,SRR28690260
jurkat_mRNA_1_2_L004,SRX24258118,SRR28690259
jurkat_mRNA_5_2_L003,SRX24258119,SRR28690258
jurkat_sgRNA_5_2_L003,SRX24258120,SRR28690257
jurkat_mRNA_5_2_L004,SRX24258121,SRR28690256
jurkat_sgRNA_5_2_L004,SRX24258122,SRR28690255
jurkat_mRNA_6_4_L003,SRX24258123,SRR28690254
jurkat_sgRNA_6_4_L003,SRX24258124,SRR28690253
jurkat_sgRNA_1_3_L002,SRX24258125,SRR28690252
jurkat_mRNA_6_4_L004,SRX24258126,SRR28690251
jurkat_sgRNA_6_4_L004,SRX24258127,SRR28690250
jurkat_mRNA_7_1_L001,SRX24258128,SRR28690249
jurkat_sgRNA_7_1_L001,SRX24258129,SRR28690248
jurkat_mRNA_7_1_L002,SRX24258130,SRR28690247
jurkat_sgRNA_7_1_L002,SRX24258131,SRR28690246
jurkat_mRNA_7_1_L003,SRX24258132,SRR28690245
jurkat_sgRNA_7_1_L003,SRX24258133,SRR28690244
jurkat_mRNA_7_1_L004,SRX24258134,SRR28690243
jurkat_sgRNA_7_1_L004,SRX24258135,SRR28690242
jurkat_mRNA_1_1_L002,SRX24258136,SRR28690241
jurkat_mRNA_1_3_L003,SRX24258137,SRR28690240
jurkat_mRNA_7_2_L001,SRX24258138,SRR28690239
jurkat_sgRNA_7_2_L001,SRX24258139,SRR28690238
jurkat_mRNA_7_2_L002,SRX24258140,SRR28690237
jurkat_sgRNA_7_2_L002,SRX24258141,SRR28690236
jurkat_mRNA_7_2_L003,SRX24258142,SRR28690235
jurkat_sgRNA_7_2_L003,SRX24258143,SRR28690234
jurkat_mRNA_7_2_L004,SRX24258144,SRR28690233
jurkat_sgRNA_7_2_L004,SRX24258145,SRR28690232
jurkat_mRNA_7_3_L001,SRX24258146,SRR28690231
jurkat_sgRNA_10_4_L003,SRX24258147,SRR28690230
jurkat_mRNA_10_4_L004,SRX24258148,SRR28690229
jurkat_sgRNA_10_4_L004,SRX24258149,SRR28690228
jurkat_mRNA_2_1_L001,SRX24258150,SRR28690227
jurkat_mRNA_11_1_L001,SRX24258151,SRR28690226
jurkat_sgRNA_11_1_L001,SRX24258152,SRR28690225
jurkat_mRNA_11_1_L002,SRX24258153,SRR28690224
jurkat_sgRNA_11_1_L002,SRX24258154,SRR28690223
jurkat_mRNA_11_1_L003,SRX24258155,SRR28690222
jurkat_sgRNA_11_1_L003,SRX24258156,SRR28690221
jurkat_mRNA_11_1_L004,SRX24258157,SRR28690220
jurkat_sgRNA_11_1_L004,SRX24258158,SRR28690219
jurkat_mRNA_11_2_L001,SRX24258159,SRR28690218
jurkat_sgRNA_11_2_L001,SRX24258160,SRR28690217
jurkat_sgRNA_2_1_L001,SRX24258161,SRR28690216
jurkat_mRNA_11_2_L002,SRX24258162,SRR28690215
jurkat_sgRNA_11_2_L002,SRX24258163,SRR28690214
jurkat_mRNA_11_2_L003,SRX24258164,SRR28690213
jurkat_sgRNA_11_2_L003,SRX24258165,SRR28690212
jurkat_mRNA_11_2_L004,SRX24258166,SRR28690211
jurkat_sgRNA_11_2_L004,SRX24258167,SRR28690210
jurkat_mRNA_11_3_L001,SRX24258168,SRR28690209
jurkat_sgRNA_11_3_L001,SRX24258169,SRR28690208
jurkat_mRNA_11_3_L002,SRX24258170,SRR28690207
jurkat_sgRNA_11_3_L002,SRX24258171,SRR28690206
jurkat_mRNA_2_1_L002,SRX24258172,SRR28690205
jurkat_mRNA_11_3_L003,SRX24258173,SRR28690204
jurkat_sgRNA_11_3_L003,SRX24258174,SRR28690203
jurkat_mRNA_11_3_L004,SRX24258175,SRR28690202
jurkat_sgRNA_11_3_L004,SRX24258176,SRR28690201
jurkat_mRNA_11_4_L001,SRX24258177,SRR28690200
jurkat_sgRNA_11_4_L001,SRX24258178,SRR28690199
jurkat_mRNA_11_4_L002,SRX24258179,SRR28690198
jurkat_sgRNA_11_4_L002,SRX24258180,SRR28690197
jurkat_mRNA_11_4_L003,SRX24258181,SRR28690196
jurkat_sgRNA_11_4_L003,SRX24258182,SRR28690195
jurkat_sgRNA_2_1_L002,SRX24258183,SRR28690194
jurkat_mRNA_11_4_L004,SRX24258184,SRR28690193
jurkat_sgRNA_11_4_L004,SRX24258185,SRR28690192
jurkat_mRNA_12_1_L001,SRX24258186,SRR28690191
jurkat_sgRNA_12_1_L001,SRX24258187,SRR28690190
jurkat_mRNA_12_1_L002,SRX24258188,SRR28690189
jurkat_sgRNA_12_1_L002,SRX24258189,SRR28690188
jurkat_mRNA_12_1_L003,SRX24258190,SRR28690187
jurkat_sgRNA_12_1_L003,SRX24258191,SRR28690186
jurkat_mRNA_12_1_L004,SRX24258192,SRR28690185
jurkat_sgRNA_12_1_L004,SRX24258193,SRR28690184
jurkat_mRNA_2_1_L003,SRX24258194,SRR28690183
jurkat_sgRNA_13_3_L002,SRX24258195,SRR28690182
jurkat_mRNA_13_3_L003,SRX24258196,SRR28690181
jurkat_sgRNA_13_3_L003,SRX24258197,SRR28690180
jurkat_mRNA_13_3_L004,SRX24258198,SRR28690179
jurkat_sgRNA_13_3_L004,SRX24258199,SRR28690178
jurkat_mRNA_13_4_L001,SRX24258200,SRR28690177
jurkat_sgRNA_13_4_L001,SRX24258201,SRR28690176
jurkat_sgRNA_2_2_L001,SRX24258202,SRR28690175
jurkat_mRNA_13_4_L002,SRX24258203,SRR28690174
jurkat_sgRNA_13_4_L002,SRX24258204,SRR28690173
jurkat_mRNA_13_4_L003,SRX24258205,SRR28690172
jurkat_sgRNA_13_4_L003,SRX24258206,SRR28690171
jurkat_mRNA_13_4_L004,SRX24258207,SRR28690170
jurkat_sgRNA_13_4_L004,SRX24258208,SRR28690169
jurkat_mRNA_14_1_L001,SRX24258209,SRR28690168
jurkat_sgRNA_14_1_L001,SRX24258210,SRR28690167
jurkat_mRNA_14_1_L002,SRX24258211,SRR28690166
jurkat_sgRNA_14_1_L002,SRX24258212,SRR28690165
jurkat_mRNA_2_2_L002,SRX24258213,SRR28690164
jurkat_mRNA_14_1_L003,SRX24258214,SRR28690163
jurkat_sgRNA_14_1_L003,SRX24258215,SRR28690162
jurkat_mRNA_14_1_L004,SRX24258216,SRR28690161
jurkat_sgRNA_14_1_L004,SRX24258217,SRR28690160
jurkat_mRNA_14_2_L001,SRX24258218,SRR28690159
jurkat_mRNA_16_2_L002,SRX24258219,SRR28690158
jurkat_sgRNA_16_2_L002,SRX24258220,SRR28690157
jurkat_mRNA_16_2_L003,SRX24258221,SRR28690156
jurkat_sgRNA_16_2_L003,SRX24258222,SRR28690155
jurkat_mRNA_16_2_L004,SRX24258223,SRR28690154
jurkat_sgRNA_16_2_L004,SRX24258224,SRR28690153
jurkat_mRNA_16_3_L001,SRX24258225,SRR28690152
jurkat_sgRNA_16_3_L001,SRX24258226,SRR28690151
jurkat_mRNA_16_3_L002,SRX24258227,SRR28690150
jurkat_sgRNA_16_3_L002,SRX24258228,SRR28690149
jurkat_sgRNA_1_1_L003,SRX24258229,SRR28690148
jurkat_mRNA_2_3_L002,SRX24258230,SRR28690147
jurkat_mRNA_16_3_L003,SRX24258231,SRR28690146
jurkat_sgRNA_16_3_L003,SRX24258232,SRR28690145
jurkat_mRNA_16_3_L004,SRX24258233,SRR28690144
jurkat_sgRNA_16_3_L004,SRX24258234,SRR28690143
jurkat_mRNA_16_4_L001,SRX24258235,SRR28690142
jurkat_sgRNA_16_4_L001,SRX24258236,SRR28690141
jurkat_mRNA_16_4_L002,SRX24258237,SRR28690140
jurkat_sgRNA_16_4_L002,SRX24258238,SRR28690139
jurkat_mRNA_16_4_L003,SRX24258239,SRR28690138
jurkat_sgRNA_16_4_L003,SRX24258240,SRR28690137
jurkat_sgRNA_2_3_L002,SRX24258241,SRR28690136
jurkat_mRNA_16_4_L004,SRX24258242,SRR28690135
jurkat_mRNA_2_4_L004,SRX24258243,SRR28690134
jurkat_mRNA_20_2_L003,SRX24258244,SRR28690133
jurkat_sgRNA_20_2_L003,SRX24258245,SRR28690132
jurkat_mRNA_20_2_L004,SRX24258246,SRR28690131
jurkat_sgRNA_20_2_L004,SRX24258247,SRR28690130
jurkat_mRNA_20_3_L001,SRX24258248,SRR28690129
jurkat_sgRNA_20_3_L001,SRX24258249,SRR28690128
jurkat_mRNA_20_3_L002,SRX24258250,SRR28690127
jurkat_sgRNA_20_3_L002,SRX24258251,SRR28690126
jurkat_mRNA_20_3_L003,SRX24258252,SRR28690125
jurkat_sgRNA_20_3_L003,SRX24258253,SRR28690124
jurkat_sgRNA_2_4_L004,SRX24258254,SRR28690123
jurkat_mRNA_20_3_L004,SRX24258255,SRR28690122
jurkat_sgRNA_20_3_L004,SRX24258256,SRR28690121
jurkat_mRNA_20_4_L001,SRX24258257,SRR28690120
jurkat_sgRNA_20_4_L001,SRX24258258,SRR28690119
jurkat_mRNA_20_4_L002,SRX24258259,SRR28690118
jurkat_sgRNA_20_4_L002,SRX24258260,SRR28690117
jurkat_mRNA_20_4_L003,SRX24258261,SRR28690116
jurkat_sgRNA_20_4_L003,SRX24258262,SRR28690115
jurkat_mRNA_20_4_L004,SRX24258263,SRR28690114
